Ingredientid,Formula,cid,smiles
832,C3H7NO2 ,7311724,CC(C(=O)[O-])[NH3+]
833,C3H7NO2,,
834,C15H20O2 ,6540817,CC1CCCC2(C1=CC3C(C2)OC(=O)C3=C)C
844,C24H26O4 ,5281297,CC(=CCCC(=CCC1=C(C=C(C=C1C2=CC3=C(O2)C=C(C=C3)O)O)O)C)C
846,C34H26O8 ,44567218,CC1=CC2C3C(C1)C4=C(C=C(C=C4)O)OC3(OC5=C2C(=CC(=C5)C6=CC7=C(O6)C=C(C=C7)O)O)C8=C(C=C(C=C8)O)O
855,C29H38O17,11479347,COC1=CC(=CC(=C1O)OC)C(=O)OCC2(COC(C2O)OC3C(C(C(OC3OC4=CC(=C(C(=C4)OC)OC)OC)CO)O)O)O
856,C27H34O16,11399341,COC1=CC(=CC(=C1O)OC)C(=O)OCC2(COC(C2O)OC3C(C(C(OC3OC4=CC(=C(C=C4)O)OC)CO)O)O)O
857,C24H30O11 ,11968455,CC1(CC2(C3(CC1C3(C(=O)O2)COC(=O)C4=CC=CC=C4)OC5C(C(C(C(O5)CO)O)O)O)C)O
861,C23H28O11 ,24868421,CC12CC(C3CC1(C3(C(=O)O2)COC(=O)C4=CC=CC=C4)OC5C(C(C(C(O5)CO)O)O)O)O
862,C4H9N3O3,348153,C(C(C(=O)O)N)NC(=O)N
863,C28H24O8 ,10696347,C1C(C(C(C2=C(C=C(C=C21)O)O)C3=C(C=C(C=C3)O)O)C4=CC(=CC(=C4)O)O)C5=C(C=C(C=C5)O)O
866,C22H22NO6,,
875,C19H14O7 ,5317207,CC1=C(C(=C(C2=C1OC=C(C2=O)CC3=CC4=C(C=C3)OCO4)O)C=O)O
876,C19H16O6 ,5317212,CC1=C(C(=C(C2=C1OC=C(C2=O)CC3=CC=C(C=C3)OC)O)C=O)O
878,C34H46O19 ,45783101,COC(=O)C1=COC(C(C1CC=C(C=O)C2C(C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)C=C)C=C)OC4C(C(C(C(O4)CO)O)O)O
879,C34H46O19 ,45783101,COC(=O)C1=COC(C(C1CC=C(C=O)C2C(C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)C=C)C=C)OC4C(C(C(C(O4)CO)O)O)O
880,C21H28O5 ,24758425,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O
888,C15H24O ,11790742,CC(C)C1=CC2C(CCC2(C)O)C(=C)CC1
891,C30H50O5 ,46173912,CC(CC(C(C(C)(C)O)O)O)C1=C2CC(C3C4(CCC(=O)C(C4CCC3(C2(CC1)C)C)(C)C)C)O
892,C32H52O6 ,76336194,CC(CC(C(C(C)(C)O)OC(=O)C)O)C1=C2CC(C3C4(CCC(=O)C(C4CCC3(C2(CC1)C)C)(C)C)C)O
893,C30H48O4 ,44144281,CC(CC(C1C(O1)(C)C)O)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)O
894,C34H53O7- ,46829428,CC(CC(C1C(O1)(C)C)OC(=O)C)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)O.CC(=O)[O-]
895,C30H46O5 ,46173914,CC(CC(C1C(O1)(C)C)O)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2=O)C)C)(C)C)C)O
896,C32H48O6 ,14036813,CC(CC(C1C(O1)(C)C)OC(=O)C)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2=O)C)C)(C)C)C)O
897,C32H52O6 ,5317286,CC(CC(C(C(C)(C)O)O)OC(=O)C)C1=C2CC(C3C4(CCC(=O)C(C4CCC3(C2(CC1)C)C)(C)C)C)O
898,C32H52O6 ,24884081,CC(CC(C(C(C)(C)O)OC(=O)C)O)C1=C2CC(C3C4(CCC(=O)C(C4CCC3(C2(CC1)C)C)(C)C)C)O
899,C37H34ClN2NaO6S2 ,25021982,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5Cl.[Na+]
902,C32H50O6 ,,
903,C32H50O7 ,,
908,C16H18O4,5317321,CC(C)CCCC1=CC(=O)C2=C(C=CC(=C2C1=O)O)O
910,C21H22O6,5317332,CC=C(C)C(=O)OC(CC=C(C)C)C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O
917,C4H4N4O3 ,6852197,C1(=O)C(=NC(=O)N1)NC(=O)N
920,C6H10OS2 ,65036,C=CCSS(=O)CC=C
921,C6H11NO3S,44229092,C=CCS(=O)CC(C(=O)[O-])[NH3+]
923,C13H18N4O2S2,5458875,CC1=NC=C(C(=N1)N)CN(C=C(CCO)SSC=C)C=O
924,C6H10S3,16315,C=CCSSSCC=C
926,C12H18O4,86374,CCCCCC1=C(C(=O)C(=C(O1)C)OC)O
928,C15H24 ,10899740,CC1CCC2C1C3C(C3(C)C)CCC2=C
930,C21H23NO5 ,98570,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C(=C(C=C4)OC)OC)OCO3
933,C16H14O4 ,69502,CC(=CCC1=C2C=CC(=O)OC2=C(C3=C1C=CO3)O)C
934,C16H14O4 ,5317436,CC(=CCC1=C2C(=C(C3=C1OC(=O)C=C3)O)C=CO2)C
938,C15H25N2O+ ,7000680,C1CC2C3CCC[NH+]4C3C(CCC4)CN2C(=O)C1
939,C10H16 ,5462627,CC=C(C)C=CC=C(C)C
944,C6H11NO2S,,
947,C6H8OS2,5317516,C=CCSSC=CC=O
948,C6H10S2,16590,C=CCSSCC=C
949,C4H5NS or CH2=CHCH2N=C=S,5971,C=CCN=C=S
950,C4H8S5,528713,CSSSSSCC=C
951,C4H8S4,525329,CSSSSCC=C
952,C4H8S3 ,61926,CSSSCC=C
953,C6H10S ,11617,C=CCSCC=C
954,C6H12S2,16591,CCCSSCC=C
957,C12H16O3 ,636750,COC1=CC(=C(C=C1CC=C)OC)OC
966,C19H18O,5317598,C1=CC=C(C=C1)CCC(=O)C=CC=CC2=CC=CC=C2
967,C15H10O5 ,10207,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2=O)CO)O
970,C21H20O10 ,147295,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2=O)COC4C(C(C(C(O4)CO)O)O)O)O
972,C19H22O10,44237202,CC1=CC(=CC(=C1C2=CC(=CC(=O)O2)OC)OC3C(C(C(C(O3)CO)O)O)O)O
973,C28H28O11 ,9871996,CC1=CC(=C(C2=C1C(=O)C=C(O2)CC(=O)C)C3C(C(C(C(O3)CO)O)O)OC(=O)C=CC4=CC=C(C=C4)O)O
976,C29H30O10 ,5317680,CC=CC1=CC(=O)C2=C(O1)C(=C(C=C2C)OC)C3C(C(C(C(O3)CO)O)O)OC(=O)C=CC4=CC=C(C=C4)O
981,C21H22O9 ,12305761,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2C4C(C(C(C(O4)CO)O)O)O)CO)O
984,C30H48O4 ,44255876,CC(=C)C1CCC2(C1C3CCC4C(C3(CC2)C)(CCC5C4(CC(C(C5(C)C)O)O)C)C)C(=O)O
985,C17H16O5,21721822,COC1=CC=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)OC
993,C20H16O5 ,5490139,CC1(C=CC2=C(O1)C=C3C(=C2O)C(=O)C(=CO3)C4=CC=C(C=C4)O)C
1010,C23H24O6 ,12305823,CC(=CCC1=CC(=C(C2=C1C(=O)C3=C(C(=C(C=C3O2)O)C(C)(C)C=C)O)O)O)C
1013,C30H32N2O19-2,54740356,C1C([NH2+]C(=CC1=CC=[N+]2C(CC3=CC(=C(C=C32)[O-])OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)C(=O)[O-])O)O)O)C(=O)[O-])C(=O)O)C(=O)[O-]
1030,C30H18O10 ,5281600,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O
1042,C7H7NO2,978,C1=CC(=CC=C1C(=O)O)N
1047,C4H9NO2 ,6999806,CC(CC(=O)[O-])[NH3+]
1048,C4H9NO2 ,119,C(CC(=O)O)CN
1058,C5H8N2O5 ,440259,C(C(C(=O)O)N)NC(=O)C(=O)O
1059,C6H7NO ,11568,C1=CC(=CC(=C1)O)N
1060,C6H7NO ,2794249,C1=CC=C(C=C1)ON
1061,C6H7NO ,403,C1=CC(=CC=C1N)O
1064,C6H12N2O3 ,15331,CN(C)NC(=O)CCC(=O)O
1074,C15H11O8- ,25244375,C1=C(C=C(C(=C1O)O)O)C2C(C(=O)C3=C(O2)C=C(C=C3[O-])O)O
1091,C26H30O12 ,44258795,CC(C)(CCC1=C(C=C(C2=C1OC(=C(C2=O)O)C3=CC=C(C=C3)O)O)OC4C(C(C(C(O4)CO)O)O)O)O
1102,C27H51NO11 ,24728706,[HH].CC.CC.CC1=CC=CC=C1.COCC1C(C(C(C(O1)COCC2C(C(C(C(O2)CO)O)O)O)O)O)O.C#N
1103,C7H14O2 or CH3COO(CH2)4CH3 ,12348,CCCCCOC(=O)C
1104,C9H18O2 ,10890,CCCCCOC(=O)CCC
1106,C30H48O ,12306155,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1C)C)C
1107,C30H48O ,12306160,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1)C)C)C
